siteID,year,month,n_days,chl_mean,chl_sd,chl_min,chl_max,chl_daily_cv
SUGG,2018,2,14,35.448509655632435,0.6636848217398944,33.43,36.58,0.018722502812877524
SUGG,2018,7,15,41.43887200191767,8.225612718649701,31.45,58.82,0.19849991858535734
SUGG,2018,10,23,38.6920391991705,9.658914598738518,29.49,67.02,0.24963570798164575
SUGG,2019,2,22,21.652484480321796,0.8105250899192104,19.11,25.66,0.037433352770940974
SUGG,2019,7,22,14.775031470341109,1.0123426559291677,12.56,18.68,0.06851712349725343
SUGG,2019,10,31,13.384149285243868,0.30458070203762133,11.11,14.33,0.02275682193513965
SUGG,2020,2,17,11.779331249876448,0.16290245023671984,11.11,13.03,0.013829516020990454
SUGG,2020,7,25,10.379256701483403,0.7443557131067144,6.71,12.87,0.07171570513332917
SUGG,2020,10,30,14.988216763184592,9.100772716628336,9.24,44.37,0.6071951627349341
SUGG,2021,2,28,10.373106607046575,0.514947802729846,8.79,13.45,0.049642582712881383
SUGG,2021,6,30,14.289210824257808,2.6567654873767306,9.5,28.43,0.1859280767882942
SUGG,2022,2,8,8.86025199211921,0.09607959294593274,8.12,10.25,0.010843889432421466
SUGG,2022,7,31,24.602165314650872,7.187330717408562,12.7,56.01,0.2921422007163095
SUGG,2022,10,31,13.659056823647017,1.0213202881801429,11.59,20.93,0.07477238738856397
SUGG,2023,2,6,18.522581104168868,2.339568934035657,13.72,26.96,0.12630901281404522
SUGG,2023,6,24,15.137048651145408,2.706878237990614,9.9,23.6,0.17882470357164287
SUGG,2023,10,31,16.35530542557119,4.987978685579159,10.02,33.91,0.3049761869797036
SUGG,2024,7,31,20.71067219161031,2.4289301045443983,13.67,32.05,0.11727915357225024
SUGG,2024,10,30,17.834929437393647,1.7388292832417551,13.37,25.65,0.09749571980901896
TOOK,2019,7,13,1.329915060143279,0.3183258941518543,0.13,3.07,0.23935806405377447
TOOK,2019,9,19,1.9226696256558036,0.21459256631177848,0.73,3.84,0.11161177325958072
TOOK,2021,7,31,2.4196141243936204,1.5651088702260594,0.53,8.65,0.6468423433502197
TOOK,2021,9,13,2.073718609473182,0.16580795608776228,0.86,4.48,0.07995682506310968
TOOK,2022,8,23,2.7866640584599183,0.207733690080088,1.34,4.56,0.07454565233632589
TOOK,2022,9,19,2.819003298608162,0.1907709709025542,1.37,5.21,0.06767319889151756
TOOK,2023,7,31,3.685754536803799,0.8233529172418544,1.66,11.56,0.22338788680047236
TOOK,2023,9,18,4.004411907920241,0.14897971457094253,2.33,7.43,0.03720389360452123
TOOK,2024,8,31,2.8719931037320197,0.1864891174292792,1.58,4.98,0.0649336926286297
TOOK,2024,9,17,2.887242143277707,0.19063486368929905,1.29,4.52,0.06602662825947916
