siteID,year,month,n_samples,biomass_mean,biomass_sd,biomass_min,biomass_max
PRPO,2017,4,8,0.001475,0.0014350211546474549,0,0.0037
PRPO,2017,7,8,0.0019625,0.001159972290309434,6e-4,0.0034
PRPO,2017,9,7,0.0035428571428571427,0.0025376216836880566,9e-4,0.0062
PRPO,2018,5,8,0.0026375,0.0018859915921642613,8e-4,0.0057
PRPO,2018,7,8,0.003325,0.002072782808551965,0.001,0.0058
PRPO,2018,9,8,0.0049125,0.003859473502213186,8e-4,0.0095
PRPO,2019,4,8,0.0020875,0.0011519393585229588,9e-4,0.0036
PRPO,2019,7,8,0.00235,0.0011916375287812984,9e-4,0.004
PRPO,2019,9,8,0.0016625,3.543101950067403e-4,0.0012,0.0021
SUGG,2016,6,7,0.0013285714285714285,0.00056188458397991815,5e-4,0.0021
SUGG,2016,11,8,0.0019875,0.001159356348521516,2e-4,0.0034
SUGG,2017,2,8,6e-4,4.2761798705987896e-4,0,0.0013
SUGG,2017,7,8,0.0018,9.797958971132711e-4,6e-4,0.0028
SUGG,2017,11,8,9.625e-4,8.034523721327321e-4,2e-4,0.0019
SUGG,2018,2,8,0.0014874999999999999,0.001090789360312718,0,0.003
SUGG,2018,7,8,0.00225,0.0017037773161000655,4e-4,0.0048
SUGG,2018,11,8,0.0012125,0.0013217277653564995,1e-4,0.0039
SUGG,2019,2,8,0.0021000000000000003,0.0017468338705866025,0,0.0046
SUGG,2019,7,8,0.0011375,8.534593470944338e-4,2e-4,0.0025
SUGG,2019,11,8,0.00165,7.348469228349534e-4,7e-4,0.0028
TOOK,2016,8,8,7.875e-4,5.841660722773961e-4,1e-4,0.0016
TOOK,2017,6,7,0.0025714285714285713,0.0022253945610567474,0,0.006
TOOK,2017,7,8,8.125e-4,5.566160513059505e-4,0,0.0017
TOOK,2017,9,8,5e-4,6.845227743263394e-4,0,0.0018
TOOK,2018,6,7,6.714285714285714e-4,4.715728494951256e-4,2e-4,0.0015
TOOK,2018,8,8,0.0014,0.0011173949295443526,0,0.0031
TOOK,2018,9,8,0.0017625,0.0014362028308802944,3e-4,0.0043
TOOK,2019,6,8,0.001175,7.440238091428449e-4,3e-4,0.0024
TOOK,2019,7,8,5.125e-4,5.166858675387645e-4,0,0.0014
TOOK,2019,9,8,2.499999999999997e-5,7.401737247816506e-4,-0.001,0.0015
