siteID,year,month,n_do_samples,meanDO_avg,meanDO_sd,maxDO_avg,minDO_avg
PRPO,2021,9,30,8.298300956157268,0.5386627364249442,9.06,7.357666666666667
PRPO,2021,10,30,10.131293777643995,1.1845041843758086,10.538,9.618666666666666
PRPO,2022,5,7,9.850530832271136,0.973321130709727,10.3,8.914285714285715
PRPO,2022,6,30,7.622512173751717,1.2630989445167236,8.680666666666667,5.873
PRPO,2022,7,30,8.025964883403386,1.963409068242901,9.390333333333334,6.087
PRPO,2022,8,31,6.690005278720836,0.7620365510495217,7.983548387096774,4.880967741935484
PRPO,2022,9,30,8.878418107498538,0.6487417457619149,9.573,8.061333333333334
PRPO,2022,10,31,10.562782491681476,0.7790511802806582,11.046129032258065,9.422903225806452
PRPO,2022,11,5,10.97260683760684,0.1702603152527859,11.35,10.196
PRPO,2023,5,20,9.736943710950687,1.48080405060115,10.42,8.869
PRPO,2023,6,29,6.633640441140723,1.5642186856882894,7.683448275862069,5.1772413793103444
PRPO,2023,7,31,7.692819927538121,1.2177260304159931,8.97483870967742,5.787419354838709
PRPO,2023,8,31,8.205496231933397,0.922576365564682,9.248387096774193,6.8
PRPO,2023,9,30,8.366252581473246,0.5355404033643423,9.219666666666667,7.384
PRPO,2023,10,28,9.850245315268525,0.7942178265680295,10.184285714285714,9.408214285714285
PRPO,2024,5,31,9.586951817296699,0.7375043829818568,9.973870967741936,9.089032258064517
PRPO,2024,6,30,8.106719956678909,0.7684481996214952,8.785666666666666,7.151666666666666
PRPO,2024,7,31,8.343511197027343,1.3117032920903533,9.453548387096774,6.866129032258065
PRPO,2024,8,31,7.982169908587457,1.2436218432544945,8.737419354838709,6.9148387096774195
PRPO,2024,9,30,8.024742656699832,0.4618660949370071,8.579333333333333,7.334666666666667
PRPO,2024,10,31,9.63851298104933,0.5104738669466472,9.92258064516129,9.231290322580644
PRPO,2024,11,6,10.592872725653967,0.15976063002932075,10.795,10.305
PRPO,2025,4,8,10.317032587162162,0.4332276041408244,10.5875,9.89375
PRPO,2025,5,31,9.681531364788702,1.1207452935769193,10.060645161290322,9.11483870967742
PRPO,2025,6,30,8.473847247825871,0.8784869848396457,9.119666666666667,7.633666666666667
PRPO,2025,7,31,8.114100228367246,0.8143536132730996,9.11516129032258,6.716129032258064
PRPO,2025,8,31,8.54114208956684,0.8663513547138765,9.37741935483871,7.44483870967742
PRPO,2025,9,30,8.873884383567253,0.8452174195202637,9.391,8.079666666666666
PRPO,2025,10,18,9.67434457230733,0.6523328625693787,10.035555555555556,9.200000000000001
SUGG,2017,12,17,5.073774127800436,0.644269146197414,5.615294117647059,4.36
SUGG,2018,1,31,7.738350364234048,0.8830909782308483,8.06741935483871,7.258709677419355
SUGG,2018,2,14,5.491168245612577,1.3057324430583062,6.045714285714285,4.5528571428571425
SUGG,2018,3,31,5.140377605439913,0.6818155588943121,5.525161290322581,4.497741935483871
SUGG,2018,4,30,4.56875145678656,0.6267718593586817,5.213,3.578
SUGG,2018,5,9,2.908278429821871,0.8415332522082027,3.9255555555555555,1.6344444444444444
SUGG,2018,6,6,0.44647003046242084,0.09896592068685521,1.8733333333333333,0.26
SUGG,2018,7,15,0.6926667742891688,0.46747572314396174,1.2753333333333334,0.32933333333333337
SUGG,2018,8,17,0.46127734795570985,0.3316916517511815,0.9482352941176471,0.2847058823529412
SUGG,2018,9,30,0.8085642640352176,0.5318003037051345,1.7553333333333334,0.337
SUGG,2018,10,31,2.908380494034117,1.1006540461203835,3.529677419354839,2.114516129032258
SUGG,2018,11,30,4.853971991168009,0.9625472452739847,5.320333333333333,4.1419999999999995
SUGG,2018,12,30,6.599720258624103,0.5695459640941019,7.058,5.961333333333333
SUGG,2019,1,25,6.060961411740357,0.9587327923967661,6.4064,5.546
SUGG,2019,2,22,5.665957578198596,0.58634485667851,6.205454545454545,4.951363636363636
SUGG,2019,3,31,5.18333099727814,0.6046329928726766,5.688387096774194,4.393548387096774
SUGG,2019,4,30,4.719452558112867,0.7209120380531095,5.344,3.768666666666667
SUGG,2019,5,31,3.658177807143603,0.5345052420854507,4.466129032258064,2.40741935483871
SUGG,2019,6,25,3.926795227182811,0.40314804413835603,4.5608,2.782
SUGG,2019,7,22,2.6873269743302775,0.3610149319216597,3.6154545454545453,1.6131818181818183
SUGG,2019,8,31,3.00240565512542,0.6781878808411753,4.035161290322581,1.6874193548387098
SUGG,2019,9,28,4.146467235529288,0.46621853098409016,4.670714285714285,3.2632142857142856
SUGG,2019,10,31,5.2034126821822,0.5540394513861309,5.544516129032258,4.655483870967742
SUGG,2019,11,25,6.679526047966547,0.938842515210241,6.9216,6.3256
SUGG,2019,12,14,7.403554374486318,0.2769765054644614,7.632857142857143,7.043571428571429
SUGG,2020,2,17,6.963295521795403,0.5418931822988087,7.338823529411765,6.32
SUGG,2020,3,31,6.377721705351337,0.879760908434586,6.793225806451613,5.661935483870968
SUGG,2020,4,30,5.32943307767406,0.6361575485511857,6.018666666666666,3.855
SUGG,2020,5,31,4.442594094644096,0.3356479654192954,5.764838709677419,2.036774193548387
SUGG,2020,6,30,4.413129392475595,0.43089342951645476,5.3149999999999995,2.904
SUGG,2020,7,30,4.196612911119047,0.3355373715738223,4.766,3.248666666666667
SUGG,2020,8,31,3.2313059073712385,0.5335751406545635,4.505483870967742,1.6845161290322581
SUGG,2020,9,29,4.362717606736903,0.9015564821839074,4.9944827586206895,3.320689655172414
SUGG,2020,10,30,5.2787064722450365,0.324672731151454,5.689,4.572666666666667
SUGG,2020,11,30,6.6452012101160225,0.5249675869952528,6.899,6.2283333333333335
SUGG,2020,12,28,7.949338692554587,0.4999780510363067,8.142857142857142,7.640714285714286
SUGG,2021,1,31,8.378663698656933,0.33650276251901357,8.548064516129033,8.12483870967742
SUGG,2021,2,28,8.004006450868562,0.776119321818972,8.252142857142857,7.6075
SUGG,2021,3,27,6.905519408106234,0.4884160996448136,7.337777777777778,6.268518518518518
SUGG,2021,4,26,6.6299633668263365,0.2788849928690958,7.015769230769231,6.0407692307692304
SUGG,2021,5,31,6.0479173119569145,0.40637025081287725,6.5041935483870965,5.146451612903226
SUGG,2021,6,30,5.603310006702887,0.37162370041464643,6.0906666666666665,4.816333333333334
SUGG,2021,7,31,4.940236529987825,0.6509714673489593,5.756774193548387,3.7016129032258065
SUGG,2021,8,31,4.086725076806626,0.33699484723316386,4.783225806451613,2.8983870967741936
SUGG,2021,9,29,4.067598489436516,0.27576947416766945,4.641379310344828,3.3586206896551722
SUGG,2021,10,31,4.612060804599246,0.48551743344068804,5.14258064516129,3.9429032258064516
SUGG,2021,11,30,7.048258098928532,0.7780558383339766,7.318,6.602666666666667
SUGG,2021,12,14,7.142047697682924,0.17433668851199405,7.464285714285714,6.607857142857143
SUGG,2022,1,18,8.781085516681843,0.5769956052830013,9.027222222222223,8.48
