taxonID,scientificName,phylum,class,order,family,genus
HOLGIB,Holopedium gibberum,Arthropoda,Branchiopoda,Diplostraca,Holopediidae,Holopedium
HOLSP5,Holopedium sp.,Arthropoda,Branchiopoda,Diplostraca,Holopediidae,Holopedium
HYDSP12,Hydrachnidae sp.,Arthropoda,Arachnida,Trombidiformes,Hydrachnidae,
ILYSP5,Ilyocryptus sp.,Arthropoda,Branchiopoda,Diplostraca,Ilyocryptidae,Ilyocryptus
KELBOS,Kellicottia bostoniensis,Rotifera,Monogonta,Ploima,Brachionidae,Kellicottia
KELLON,Kellicottia longispina,Rotifera,Monogonta,Ploima,Brachionidae,Kellicottia
KELSP1,Kellicottia sp.,Rotifera,Monogonta,Ploima,Brachionidae,Kellicottia
KERAME,Keratella americana,Rotifera,Monogonta,Ploima,Brachionidae,Keratella
KERCOC,Keratella cochlearis,Rotifera,Monogonta,Ploima,Brachionidae,Keratella
KERCRA,Keratella crassa,Rotifera,Monogonta,Ploima,Brachionidae,Keratella
KERGRA,Keratella gracilenta,Rotifera,Monogonta,Ploima,Brachionidae,Keratella
KERHIE,Keratella hiemalis,Rotifera,Monogonta,Ploima,Brachionidae,Keratella
KERQUA,Keratella quadrata,Rotifera,Monogonta,Ploima,Brachionidae,Keratella
KERSER,Keratella serrulata,Rotifera,Monogonta,Ploima,Brachionidae,Keratella
KERSER1,Keratella serrulata curvicornis,Rotifera,Monogonta,Ploima,Brachionidae,Keratella
KERSP,Keratella sp.,Rotifera,Monogonta,Ploima,Brachionidae,Keratella
KERTAU,Keratella taurocephala,Rotifera,Monogonta,Ploima,Brachionidae,Keratella
KERTEC,Keratella tecta,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella
KERTES,Keratella testudo,Rotifera,Monogonta,Ploima,Brachionidae,Keratella
KERTIC,Keratella ticinensis,Rotifera,Monogonta,Ploima,Brachionidae,Keratella
LATOCC1,Latonopsis occidentalis,Arthropoda,Branchiopoda,Diplostraca,Sididae,Latonopsis
LECBUL,Lecane bulla,Rotifera,Monogonta,Ploima,Lecanidae,Lecane
LECCLO,Lecane closterocerca,Rotifera,Monogonta,Ploima,Lecanidae,Lecane
LECINE,Lecane inermis,Rotifera,Monogonta,Ploima,Lecanidae,Lecane
LECLEO,Lecane leontina,Rotifera,Monogonta,Ploima,Lecanidae,Lecane
LECLIG,Lecane ligona,Rotifera,Monogonta,Ploima,Lecanidae,Lecane
LECLUN,Lecane luna,Rotifera,Monogonta,Ploima,Lecanidae,Lecane
LECLUN2,Lecane lunaris,Rotifera,Monogonta,Ploima,Lecanidae,Lecane
LECMIR,Lecane mira,Rotifera,Monogonta,Ploima,Lecanidae,Lecane
LECMUC,Lecane mucronata,Rotifera,Eurotatoria,Ploima,Lecanidae,Lecane
LECSP1,Lecane sp.,Rotifera,Monogonta,Ploima,Lecanidae,Lecane
LECSTO,Lecane stokesi,Rotifera,Monogonta,Ploima,Lecanidae,Lecane
LECUNG,Lecane ungulata,Rotifera,Monogonta,Ploima,Lecanidae,Lecane
LEPACU,Lepadella acuminata,Rotifera,Monogonta,Ploima,Lepadellidae,Lepadella
LEPKIN1,Leptodora kindtii,Arthropoda,Branchiopoda,Diplostraca,Leptodoridae,Leptodora
LEPMIN,Leptodiaptomus minutus,Arthropoda,Maxillopoda,Calanoida,Diaptomidae,Leptodiaptomus
LEPPRI,Leptodiaptomus pribilofensis,Arthropoda,Maxillopoda,Calanoida,Diaptomidae,Leptodiaptomus
LEPSIC,Leptodiaptomus siciloides,Arthropoda,Maxillopoda,Calanoida,Diaptomidae,Leptodiaptomus
LEPSIC1,Leptodiaptomus sicilis,Arthropoda,Maxillopoda,Calanoida,Diaptomidae,Leptodiaptomus
LEPSP31,Leptodiaptomus sp.,Arthropoda,Maxillopoda,Calanoida,Diaptomidae,Leptodiaptomus
LEPSP32,Lepadella sp.,Rotifera,Monogonta,Ploima,Lepadellidae,Lepadella
